modality,genre,n_transitions,mean_cosine_distance,median_cosine_distance,mean_euclidean_distance,median_euclidean_distance,median_tracks_t,median_tracks_t1
essentia,alternative rock,36,0.0471666016557469,0.03443115934660468,1.306300894378586,0.9975453387504758,466.0,489.5
essentia,ambient,41,0.019752166671243396,0.012211708196626092,2.8469974153218964,2.5381086329815705,165.0,179.0
essentia,black metal,35,0.02048750641176863,0.011156636244937679,2.8044429513583347,2.3342713390739322,147.0,155.0
essentia,blues,60,0.07446020748689618,0.05044819747276169,2.4946754028480953,2.276179998925859,76.0,79.5
essentia,bossa nova,52,0.03961681404993185,0.032591004613455654,3.3056891534218407,3.310314025531924,37.0,39.0
essentia,brazilian rock,33,0.11542009516035322,0.09905010986108609,2.632643118862911,2.418130623665894,47.0,48.0
essentia,classic rock,60,0.06832315124553369,0.05985351240547282,1.8109716879672817,1.6234358921714596,100.5,104.5
essentia,country,50,0.055278553088162034,0.03519832600946121,2.3769523438689264,2.146771901404872,66.0,68.0
essentia,death metal,32,0.007908303112941228,0.0049626351400841595,1.9682189623475554,1.8002703796296526,169.0,172.0
essentia,disco,45,0.05362649710221455,0.04706821924144078,2.3945362840024615,2.43104042380574,55.0,56.0
essentia,doom metal,32,0.0366625133685129,0.026263331193518258,2.3007578546427014,1.9924164462863403,111.5,118.0
essentia,dream pop,33,0.038805767624732576,0.020963387446651605,2.75884731195236,2.5235556523800153,47.0,48.0
essentia,easy listening,44,0.06535092401970843,0.047831388438841604,2.9133820072674657,2.750812063035859,31.5,32.0
essentia,electronic,44,0.056704166828638276,0.020705862554596888,2.8261650624335277,1.8621665305357422,176.0,219.5
essentia,experimental,51,0.11094338884169222,0.0866508825859641,3.1635171216244435,2.718115939606303,37.0,38.0
essentia,folk,56,0.03544688875887086,0.023207595372114587,2.7917836387124924,2.631067436673855,40.0,41.5
essentia,funk,50,0.06733177172042659,0.04626201231363225,2.432073958032744,1.9783055180441056,81.0,81.5
essentia,glam rock,34,0.11215189722127207,0.09942584956531525,2.89278163493717,2.879982299216792,28.5,28.5
essentia,gothic rock,32,0.07144087302325391,0.06469146696201439,2.68816736666731,2.5706827262656713,49.5,52.5
essentia,grunge,31,0.07572847548701293,0.03945803629084377,2.281626239290637,1.6675882158510136,116.0,117.0
essentia,hard rock,50,0.01629736311206069,0.01091700058573869,1.425246111936774,1.320276643275481,260.5,261.5
essentia,hardcore,38,0.0342149152971415,0.01437312123884843,2.4303716599725798,1.9637778286383794,50.5,63.0
essentia,hardcore punk,29,0.03150655742256019,0.021692871970343752,2.79548877612213,2.5274820583725646,34.0,35.0
essentia,indie rock,32,0.05621916597492127,0.033836551301848095,1.5584193548401688,1.1283659676640787,438.5,546.5
essentia,industrial,34,0.04132888825599857,0.02336226755232851,2.2577489480343456,2.020007388134208,147.0,154.5
essentia,jazz,60,0.032613951926988634,0.027366846344165974,2.5071089688866977,2.373909901575532,82.0,82.0
essentia,latin,37,0.04943838460349737,0.045173512075730726,1.9741494922593337,1.668214943162007,144.0,171.0
essentia,metal,47,0.04617368284840535,0.02677305343697467,2.381840876624917,1.9901998781166403,67.0,74.0
essentia,mpb,52,0.03398349193455437,0.023647874302972716,2.210025427348364,2.019882618997617,83.0,85.5
essentia,new wave,42,0.07574297916766998,0.055172605307831746,1.616960124787176,1.5756877347001468,133.0,136.5
essentia,pop,56,0.0452240729135923,0.025997910516008305,1.547961617486187,1.2608396504485633,403.5,417.5
essentia,pop rock,30,0.07927502312538963,0.03755004667979572,2.2962863841256445,1.912349993716596,130.0,184.5
essentia,post-hardcore,34,0.04549319728473621,0.017708370695778075,2.3109703277227718,1.7308126408241686,68.0,88.5
essentia,post-punk,42,0.08576318069628763,0.06319702981209119,1.9749225530785555,1.6821747377021814,154.0,157.5
essentia,power metal,32,0.019282923300192562,0.013133673972711424,2.1457047806950684,1.8016729937521976,112.5,125.0
essentia,progressive metal,31,0.04242488817837781,0.02359428550917375,2.059756153995495,1.9064689001614175,115.0,115.0
essentia,progressive rock,52,0.11005017175730367,0.08649803406879131,2.204718051968825,1.9149573370231923,145.0,158.0
essentia,psychedelic rock,45,0.10392094768263721,0.05871782061048603,2.6668111090869844,2.1807282593667257,59.0,59.0
essentia,punk,46,0.027196799702134806,0.011348165388383125,1.8527589289320177,1.4126175951845252,222.0,224.0
essentia,rap,31,0.01488442065266197,0.01157052338900566,1.878290794387066,1.6173832697816923,170.0,192.0
