feature,genre,n_valid_windows,first_window,last_window,first_value,last_value,last_minus_first,linear_trend,mean_value,median_value
love,alternative rock,37,1979,2015,0.03161387970517859,0.034187193899407255,0.002573314194228668,0.0002656621629756534,0.032648720112856064,0.03265757831117048
love,ambient,43,1971,2015,0.0015671994082131,0.01758134704759094,0.01601414763937784,0.00012103849324349633,0.011783504586204982,0.010976228006819699
love,black metal,36,1980,2015,0.010237027083571784,0.01132496884202597,0.0010879417584541851,0.00012405381415025974,0.00874114541449037,0.009176396509424905
love,blues,61,1955,2015,0.07925805422442447,0.0746655896636821,-0.004592464560742374,-0.00020469939381491457,0.05965876543572637,0.057296789367123034
love,bossa nova,54,1960,2015,0.02399029892228234,0.08048701316111548,0.05649671423883314,0.0009083704837794384,0.0840988245622705,0.08299373104679106
love,brazilian rock,34,1982,2015,0.022843271384372078,0.04824160866376844,0.025398337279396364,0.000574301474242804,0.04610178465055409,0.0459723357066819
love,classic rock,61,1955,2015,0.05833187641378789,0.06450616279867506,0.006174286384887172,0.00023724100066591902,0.06779557086790476,0.06643670378792355
love,country,53,1955,2015,0.062182068139696,0.053389545183523165,-0.008792522956172832,-0.00026028925508052845,0.06818769173711835,0.06351756796933934
love,death metal,33,1983,2015,0.01712091193310199,0.0067168297779634616,-0.010404082155138529,-2.888004856340037e-05,0.007017150871595893,0.0066739096535551184
love,disco,46,1970,2015,0.06481050972820188,0.09852468594591886,0.03371417621771698,-0.0007389174892273536,0.09533535040125994,0.09775863944135864
love,doom metal,33,1983,2015,0.005201857652205457,0.015964225329808186,0.01076236767760273,5.042617550173271e-05,0.017620364607169328,0.017860062390663893
love,dream pop,34,1982,2015,0.0443616446258319,0.0440823465466766,-0.00027929807915529764,-0.0012254912443289657,0.04838310312291661,0.04153294816855171
love,easy listening,47,1959,2015,0.06750735938041122,0.10570043560443204,0.03819307622402082,-0.00044492016540694385,0.11558355767122526,0.10570043560443204
love,electronic,45,1971,2015,0.0,0.04796262955080204,0.04796262955080204,0.000821365535843412,0.03353215394843357,0.03848513816321823
love,experimental,52,1964,2015,0.025891542742354706,0.042707424997534695,0.01681588225517999,-0.00010481700859464874,0.03059235742397158,0.02952473359914902
love,folk,57,1959,2015,0.03519776897985205,0.0548381225134571,0.01964035353360505,1.2444051933714615e-05,0.05185135322964748,0.04719256131574919
love,funk,51,1965,2015,0.046613652543029,0.03360950241168823,-0.01300415013134077,-0.0005259052821644694,0.06609398163107152,0.05984787302520516
love,glam rock,39,1967,2015,0.07377015036078599,0.08978582801432503,0.016015677653539034,-0.0004452307757530753,0.061556326876340745,0.058353893697626565
love,gothic rock,34,1977,2015,0.023772879389858708,0.04205128018490528,0.018278400795046574,0.0012861288276130474,0.042545199367242416,0.04027835477626438
love,grunge,32,1984,2015,0.010088997058274055,0.03749230212784036,0.027403305069566307,0.0002999580574890849,0.033338968623249435,0.032734979651734206
love,hard rock,51,1965,2015,0.07080184000100714,0.04229983701260497,-0.02850200298840217,-0.0005829481943662936,0.04750926273718218,0.048426248999234915
love,hardcore,39,1977,2015,0.0,0.019803166572564188,0.019803166572564188,0.00034181648878410336,0.016105212846755996,0.01728549826124086
love,hardcore punk,32,1976,2015,0.0034500463366918,0.019336138074016435,0.015886091737324633,8.809489856804952e-06,0.01829014471791107,0.017735122976988794
love,indie rock,33,1983,2015,0.02997038803058787,0.03882087419636569,0.008850486165777823,0.00038139680753510605,0.03239796186732779,0.03601515414555285
love,industrial,35,1981,2015,0.03020940422421676,0.020303772156094663,-0.009905632068122096,0.0001720837524760791,0.02135876895171785,0.021164174073593674
love,jazz,61,1955,2015,0.061454909557174815,0.048801181503268135,-0.01265372805390668,2.9552370070851433e-05,0.061125046771835896,0.058206026219316837
love,latin,40,1965,2015,0.03323951207049666,0.08269511969202947,0.04945560762153281,0.0011313628507189076,0.09820999167797279,0.1047258084462942
love,metal,48,1968,2015,0.03430222954184756,0.018724750485788245,-0.015577479056059319,-0.0005511138390582083,0.021173068875124063,0.01801456335533115
love,mpb,53,1963,2015,0.07534067947556566,0.07579231260212115,0.00045163312655548127,0.00018169505241351,0.07465126700178035,0.0741094745184541
love,new wave,43,1973,2015,0.03300179303986309,0.0528558771860063,0.019854084146143217,0.00025745455432228757,0.055077512035882854,0.0528558771860063
love,pop,57,1959,2015,0.11159647371182872,0.06840512424547393,-0.04319134946635479,-0.00023344086505136722,0.08769251881716367,0.08533735592774741
love,pop rock,32,1982,2015,0.05419085415301937,0.05383007753421142,-0.0003607766188079495,-0.001138645824233686,0.06538073488193105,0.056006523549845796
love,post-hardcore,35,1981,2015,0.02312290222597027,0.02311408253156096,-8.81969440931149e-06,0.0007560121449064946,0.018177331506885705,0.02311408253156096
love,post-punk,43,1973,2015,0.03656842380223151,0.03126959225174502,-0.005298831550486494,7.70081740739792e-05,0.03438988814476974,0.034217838194077
love,power metal,34,1981,2015,0.002242106593955596,0.02100728047693255,0.01876517388297695,0.0005058828445534835,0.015974868471743026,0.014888017518551573
love,progressive metal,32,1984,2015,0.03019084717188545,0.01370139688381456,-0.01648945028807089,-0.00011709629936453379,0.01582942405068069,0.015324083824219889
